history_item_id,text,voice_name,voice_id,tarih,karakter_sayisi,model_id,state
STW2pkVrkY0l9rbWzGFq,"Anlayamadım, evet mi hayır mı?","Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-25 00:55:57,30,eleven_multilingual_v2,created
sD6Fy4EKAnwZf3XFzgYA,"Anlamadım, lütfen tekrar dener misiniz?","Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-25 00:55:42,39,eleven_multilingual_v2,created
yARCRVyyNy9gkNJoU9M1,"Anlayamadım, evet mi hayır mı?","Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-25 00:55:19,30,eleven_multilingual_v2,created
b3gaPJhtqxSdreHwPEYL,"Anlayamadım, lütfen tekrar eder misiniz?","Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-25 00:55:02,40,eleven_multilingual_v2,created
p0XvhV7DI14nFe0s24dZ,"Anlayamadım, lütfen tekrar dener misiniz?","Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-25 00:32:43,41,eleven_multilingual_v2,created
0kERyOAB8iX4Sezu6zUR,"Anlayamadım, evet mi hayır mı?","Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-25 00:30:02,30,eleven_multilingual_v2,created
UP1prEDlDUvWr0PujZ2E,"Anlamadım, lütfen tekrar dener misiniz?","Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-25 00:29:51,39,eleven_multilingual_v2,created
Y9fbaPqLSCj8MZUYFVm3,"Anlayamadım, evet mi hayır mı?","Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-25 00:29:34,30,eleven_multilingual_v2,created
1Zar9tjbo4ds8oVZLcfG,"Anlayamadım, lütfen tekrar dener misiniz?","Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-25 00:29:17,41,eleven_multilingual_v2,created
9wsvTwnWn7xaY1YBw3OD,"Anlayamadım, evet mi hayır mı?","Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-25 00:28:24,30,eleven_multilingual_v2,created
07fnuyP6JRkkjqvTw33q,"Anlayamadım, ne demek istediğinizi açıklar mısınız?","Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-25 00:28:02,51,eleven_multilingual_v2,created
vbOn6T6SDFNVY2OELtoh,"Anlayamadım, lütfen tekrar dener misiniz?","Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-25 00:27:35,41,eleven_multilingual_v2,created
It4GPonRGBzZwvhvIsfp,"Anlayamadım, evet mi hayır mı?","Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-25 00:27:18,30,eleven_multilingual_v2,created
HvlnClrGZxpk38LDpWpL,"Anlayamadım, lütfen tekrar dener misiniz?","Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-25 00:27:11,41,eleven_multilingual_v2,created
vaDWqAYUdTQeFlIBHVvJ,"Anlayamadım, lütfen tekrar dener misiniz?","Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-25 00:26:45,41,eleven_multilingual_v2,created
YRNu3EOKr4J5Gu9Q8qFa,"Web deploy başlatıldı, birkaç dakika sürecek.","Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-24 20:45:07,45,eleven_multilingual_v2,created
FYgsboHTg0ZEw4Uts7GX,Vybid web deploy edilsin mi?,"Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-24 20:44:29,28,eleven_multilingual_v2,created
zQSc8PMCCznjAfjQwdD8,"Anlayamadım, evet mi hayır mı?","Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-24 19:44:56,30,eleven_multilingual_v2,created
V1G3mNneBnTLjy9VUEdz,"Site ayakta, her şey normal.","Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-24 19:44:42,28,eleven_multilingual_v2,created
Tmhi68JvwNL3ZP8WKuFS,"Anlayamadım, evet mi hayır mı?","Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-24 19:44:22,30,eleven_multilingual_v2,created
mdOOO1TqZwTJ3q1aCqHc,"Site ayakta, her şey normal.","Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-24 19:44:04,28,eleven_multilingual_v2,created
KaPv1OrAG7xFuyYmlQAs,Web deploy işlemini başlatmak istediğinize emin misiniz?,"Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-24 19:37:16,56,eleven_multilingual_v2,created
cHTKxCXRalsnvliYh0WV,"Anlayamadım, lütfen tekrar dener misiniz?","Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-24 19:30:15,41,eleven_multilingual_v2,created
0XqXcWIdEJYWgsREqbG5,Web deploy işlemini başlatmak istediğinize emin misiniz?,"Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-24 18:57:37,56,eleven_multilingual_v2,created
tYuQ3uReA3PUaFm4ZC70,"Anlayamadım, lütfen tekrar eder misiniz?","Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-24 18:42:14,40,eleven_multilingual_v2,created
mZX313guVNx9yM4Q4PQm,"Site ayakta, her şey normal.","Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-24 18:40:14,28,eleven_multilingual_v2,created
SptoSO7feoCXW12p3a3D,"Anlayamadım, lütfen tekrar dener misiniz?","Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-24 14:48:13,41,eleven_multilingual_v2,created
t8j2VJsCUX6obLiNspVk,"Anlayamadım, evet mi hayır mı?","Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-24 14:46:35,30,eleven_multilingual_v2,created
NP4JVdvwEvD2uaGIPs89,Web sürümünü dağıtmak istediğinize emin misiniz?,"Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-24 14:36:23,48,eleven_multilingual_v2,created
q9yDIPqrmDGE9Ggx4umJ,"Site ayakta, her şey normal.","Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-24 04:20:00,28,eleven_multilingual_v2,created
CWTYtx5hWg4edjl48OMo,Bugün 0 rezervasyon var.,"Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-24 04:19:45,24,eleven_multilingual_v2,created
QX5OKbCQfQJ5a5thygZV,Bugün 0 rezervasyon var.,"Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-24 04:18:52,24,eleven_multilingual_v2,created
3xy2aGv36f9OdOiKgm0v,Bugün 0 rezervasyon var.,"Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-24 04:17:03,24,eleven_multilingual_v2,created
XQZmuZa8yaLVmfEd0tQi,"Anlayamadım, tekrar söyler misin?","Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-24 04:13:50,33,eleven_multilingual_v2,created
LDz2RFq2sCcFHL8c0YNN,"Anlayamadım, tekrar söyler misin?","Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-24 04:12:51,33,eleven_multilingual_v2,created
poW5qI5Y9yRf38a9MkfL,Bugün 0 rezervasyon var.,"Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-24 03:15:50,24,eleven_multilingual_v2,created
WoUhPcSqXwIa0olDBGPZ,Seni duydum ama komutu anlayamadım. Site durumu veya rezervasyon sorabilirsin.,"Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-24 03:14:20,78,eleven_multilingual_v2,created
Gp3MPYbFpiTU4y9jkxUN,"Site ayakta, her şey normal.","Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-24 03:13:45,28,eleven_multilingual_v2,created
9NBkygu07RgqUk4b2kVz,Seni duydum ama komutu anlayamadım. Site durumu veya rezervasyon sorabilirsin.,"Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-24 03:12:55,78,eleven_multilingual_v2,created
aDU4vXv32tERpvl2UFbo,Bugün 0 rezervasyon var.,"Adam - Dominant, Firm",pNInz6obpgDQGcFmaJgB,2026-06-24 02:53:15,24,eleven_multilingual_v2,created
